footpad skin,skin of body
forelimb,forelimb
frozen brain tissue specimens,brain
"frozen brain tissue specimens, plaque",brain
"frozen brain tissue specimens, white matter",brain
"frozen brain tissue, white matter",brain
gastric antrum,stomach
gastruloids from mouse embryonic stem cells,embryo
gonad and mesonephros,embryo
grey matter,brain
grey matter from frozen brain tissue specimens,brain
hESCs,embryo
hindlimb skeletal muscle,musculature
human brain organoids,brain
human fetal mitral valve,heart
human somatic cells,other
human somatic cells during chemical reprogramming stage III,other
iPSC derived cardiac cells,heart
iPSC-derived Tenocytes (Syndetome),skeletal system
iPSC-derived microglia-like cells,central nervous system
ileum of small intestine,small intestine
induced neurons from pluripotent stem cells,central nervous system
"inner cell mass, neuronal stem cell",embryo
kidney organoids derived from iPSCs,kidney
lamina propria of small intestine,lamina propria
lung (normal tissue adjacent to tumor),lung
lung BALF,lung
lung cancer organoid,lung
"lung, B16-OVA tumor",lung
"lymph node, paraaortic",lymph node
mouse bone marrow,bone marrow
mouse tumor,other
mouse tumor sample,other
"neural culture cells, with TDP-43-HA",central nervous system
"neural culture cells, with TDP-43-HA, OFF control",central nervous system
neural stem cells,central nervous system
neuroblastoma O-PDX,peripheral nervous system
non-parenchymal liver cells,liver
ovarian cancer patient ascites cells,ovary
pancreatic cancer cells,pancreas
pancreatic slices,pancreas
patient primary tumor-derived xenograft tumor,other
perirenal brown adipose tissue,adipose tissue
peritoneal lavage fluid,other
pontine nuclei,brain
primary breast cancer,breast
primary tumor surgical resection,other
rhabdomyosarcoma cell line,musculature
skin (dorsal interscapular),skin of body
skin tertiary lymphoid structure,skin of body
skin wound,skin of body
small intestinal LPL,small intestine
somatic cells during chemical reprogramming stage I,other
stembryo (posterior part),embryo
telencephalic organoids,brain
teratoma,other
thymic endothelial cells,immune system
tongue tumor,tongue
tonsil tumor,immune system
transplanted human intestinal organoids (tHIO),intestine
trigeminal ganglion,peripheral nervous system
triple-negative breast cancer,breast
tumor (4T1 Breast Cancer),breast
tumor (B16F10 melanoma),skin of body
tumor graft,other
tumor infiltrating lymphocytes,immune system
tumor sample from 12 OSCC patients,digestive system
tumor sample from oral squamous cell carcinoma,digestive system
tumor sample from oral squamous cell carcinoma (OSCC) patient,digestive system
tumor sample from oral squamous cell carcinoma (OSCC) patients,digestive system
tumor tissue from B16-OVA melanoma cells,skin of body
tumor tissues from patients with breast cancer,breast
"tumor, brain metastasis",brain
uterine smooth muscle cells,uterus
"uterus, yolk sac, placenta",reproductive system
various cancer cell lines,other
visceral white adipose tissue,adipose tissue
whole coeliac ganglion,peripheral nervous system
whole colon,colon
whole lumbar ganglion,peripheral nervous system
whole sphenopalatine ganglion,peripheral nervous system
whole stellate ganglion,peripheral nervous system
whole ventricle,heart
20 days subcutaneous tumor tissues of MC38,other
3 Pooled brains,brain
3 layer spheroid channel 1,other
AUD-TEa-PERI-ECT,brain
AUD-TEa-PERI-ECT (specific brain region),brain
AnaVI back skin,skin of body
"Aortic root, aortic arch, BCA, carotids",vasculature
B cell (from lymph nodes),lymph node
"B6 left lung, 2 hours after syngeneic transplantation",lung
BA4 (from autopsy tissue or surgical resections),brain
BA9 (Brodmann area 9),brain
BA9+AWS (Brain region),brain
BA9+BA4+H+SN,brain
BA9+BA4+SC+SN,brain
BA9+SN (Brodmann area 9 and substantia nigra),brain
BALF cells,lung
BRAFV600E melanoma,skin of body
BT-549 TNBC cells,breast
CAR-T cells co-cultured with MEC1 cancer cells,immune system
CD3+ T cells from peripheral blood,blood
CD3+ T cells from peripheral blood (PBMC),blood
CD3+ T cells purified from peripheral blood (PBMC),blood
CD34+CD38- Leukemic stem cells,bone marrow
CD45+ cells from autopsy tissue or surgical resections,immune system
CD45neg synovial tissue,skeletal system
"CRC, Distal colon",colon
Calvarial Periosteum and Sagittal Suture Mesenchyme,skeletal system
Cingulate,brain
Cortex & Hippocampus (3mm piece around the contusion),brain
"Cortex, Nucleus, and Pallidum",brain
Differentiated iPSC cells,other
Dorsal & Lateral lobes of the prostate,prostate gland
Dorsal and lateral ventricular-subventricular zones of the adult mouse brain,brain
Dorsal lobe of the prostate,prostate gland
E12.5 gonads,embryo
ESI017 TKO8 ESO hPSC,other
ESI017 WT hPSC,other
"Esophagus, Gastroesophageal Junction (GEJ), Stomach",digestive system
Ex vivo HSC PVA culture,bone marrow
FACS-enriched mature OSNs,sensory system
FACS-enriched mature olfactory sensory neurons (mOSNs),sensory system
FAN-sorted nuclei,other
FN,other
GBM tumor tissue,brain
HCC Tumor,liver
HCC region,liver
"HEK3, scRNA gene expression",kidney
HSPC (Hematopoietic Stem/Progenitor Cells),bone marrow
HY - HYa2,brain
HY - HYm2 (specific brain region),brain
HY - HYpm,brain
HY - MEZ-PVZ-PVR (specific brain regions),brain
HepaRG cells (Hepatocyte),liver
Human Synthetic Embryoid Model (SEMs),embryo
Human Umbilical Vein Endothelial Cells (HUVECs),vasculature
Infrapatellar Fat Pad,adipose tissue
Infrapatellar Fat pad,adipose tissue
KR158 cell/4T1,other
Kuramochi cell line,ovary
LPMC (Lamina Propria Mononuclear Cells),lamina propria
Lamina Propria Aggregate Culture (LPMC),lamina propria
MB - MRN-CUN-RN-RR-PN (specific brain region),brain
MB - MRN-CUN-RN-RR-PPN-NB-SAG-PBG (specific brain regions),brain
MB - SC,brain
MC38WT Tumor,colon
MCF7 breast cancer cell line,breast
"MCF7 cell line, late dormancy",breast
MDAMB231 Cell line,breast
MEF transformed cells,other
MLN (Mesenteric Lymph Nodes),lymph node
MMTV-neu cells,breast
MY - MYsat-MYmot,brain
Medium/small size pulmonary artery,vasculature
Memory CD4+ T cells,immune system
Myc-CaP tumor,prostate gland
NK cells (umbilical cord blood),blood
,other
Normal Human Astrocytes,brain
"Normal Human Astrocytes (Lonza, #CC-2565)",brain
NrESC derived blastoids,embryo
PBMC (frozen),blood
PBMC and TIL,blood
PDO harvested at day 28,other
PL-ILA-ORB,brain
Peri-heart white adipose tissue,adipose tissue
Peripheral Blood Lymphocytes,blood
Peripheral Blood Mononuclear Cells,blood
"Peripheral Blood, Spleen, Bone Marrow, Colon",other
PitNET,endocrine gland
PitNET (PIT1-Tumor),endocrine gland
PitNET (Pituitary Neuroendocrine Tumor),endocrine gland
PitNET (SF1-Tumor),endocrine gland
Pituitary Neuroendocrine Tumor,endocrine gland
Primary HSPC (Hematopoietic Stem and Progenitor Cells),bone marrow
Purified RPE (Retinal Pigment Epithelium),eye
RM1 tumors,prostate gland
SC,spinal cord
SSp (Secondary Somatosensory Cortex),brain
STR - sAMY,brain
Secondary Somatosensory Cortex (SSp),brain
Somatosensory Cortex (SSp),brain
Substantia Nigra (SN),brain
T cell culture,immune system
T cells from blood,blood
TH - AD-AV-AM-IAD-LD (specific brain regions),brain
Tibialis Anterior,musculature
VISa (Visual Association Area of the brain),brain
VISl (Visual area of the brain),brain
"VISm (Visual cortex, mouse)",brain
VISpos (Visual Cortex),brain
WIBR3,other
abdominal aortic aneurysm tissue,vasculature
adipose tissue (subcutaneous),adipose tissue
"adjacent nonmalignant tissues, breast cancer",breast
adrenal medullary tumor,adrenal gland
adrenocortical tumor,adrenal gland
adult brain (MB - SC),brain
adult brain - ACA,brain
adult brain - MB - SC,brain
adult mouse midbrain,brain
agranular insular cortex,brain
airway epithelial cells,respiratory system
alveolar myofibroblasts,lung
anaplastic ependymoma,brain
anterior cingulate area (ACA),brain
anterior piriform cortex,brain
anterior tibial artery,vasculature
aortae,vasculature
aortic,vasculature
aortic valve structure,heart
arthritic paw and ankle,skeletal system
articular cartilage,skeletal system
ascitic fluid,other
astrocytes,brain
astrocytoma,brain
autopsy tissue and surgical resections,other
autopsy tissue or surgical resections,other
back skin,skin of body
bladder cancer tissues and matched normal tissues,urinary bladder
blood (neutrophils and lymphocytes),blood
blood (serum),blood
blood PBMCs,blood
blood and heart,other
"blood, (peri)tumoral tissue",other
bone callus,skeletal system
bone endothelial cells,skeletal system
bone flap,skeletal system
bone marrow cell,bone marrow
bone marrow derived,bone marrow
bone marrow derived monocyte,bone marrow
bone marrow stroma,bone marrow
bone marrow stromal cells,bone marrow
bone metastasis,skeletal system
brain (basolateral amygdala - BLA),brain
brain (cortical regions),brain
brain (deep brain regions),brain
brain (medulla),brain
brain cortical tissue,brain
brain hippocampal tissue,brain
brain organoid cells,brain
brain regions: MY - CN-DCN-ECU-NTS-SPVC-SPVI-SPVO,brain
brain tissue (glial-enriched stem-cell 3D model),brain
brain tumor and non-tumor tissues,brain
"brain, cortex",brain
"brain, dorsal telencephalon",brain
"brain, motor cortex, cingulate cortex",brain
brain: cortical regions,brain
brain: deep brain regions,brain
breast cancer liver metastasis,liver
breast cancer tissue,breast
breast cancer tissues,breast
breast reduction skin,breast
breast tumors,breast
bronchial/tracheal epithelial cells,respiratory system
callus tissue,skeletal system
cancerous prostate tissue,prostate gland
caput,reproductive system
cardiac left ventricle,heart
carotid artery plaques,vasculature
"cerebral cortex, hippocampus, and testis",other
cerebral cortical tissues,brain
cervical carcinoma,uterus
cervical spinal cord,spinal cord
chorionic plate placenta,placenta
choroid plexus tumor,brain
chronic myelogenous leukemia,bone marrow
collecting lymphatic vessel in dermis,vasculature
colon epithelium,colon
colon mucosa,colon
colon normal,colon
colon solitary isolated lymphoid tissues,colon
"colon, small intestine",intestine
colonic wounds and intact tissues,colon
colonoid,colon
colorectal,colon
colorectal cancer AKPS organoid,colon
colorectal cancer tissues and adjacent normal tissues,colon
colorectal pre-malignant lesion,colon
columnar epithelial cells in mouse stomach,stomach
conjunctiva,eye
conjunctiva organoids,eye
cord blood-derived CD34+ cells,blood
cortex & hippocampus (3mm piece around the contusion),brain
cortex of E12.5 and E14.5 embryos,brain
cortices and hippocampi,brain
cranial bone marrow,bone marrow
cranial bone marrow and sutures,bone marrow
cristae,sensory system
cultured utricle,sensory system
dentate gyri,brain
derived from human iPS cells,other
differentiated hESCs,other
differentiated hypothalamic neurons,brain
differentiated iPSC cells,other
distal colon adenoma,colon
distal lung tissue,lung
dorsal root ganglia (L4-L6),peripheral nervous system
dorsal skin wound,skin of body
dorsal spinal cord organoids,spinal cord
ductal carcinoma,breast
dural meninges,brain
e15.5 endocrine progenitor and endocrine committed cells,embryo
ectodermal and mesodermal derivatives,embryo
efferent duct,reproductive system
embryos,embryo
endocrine progenitor and endocrine committed cells,endocrine gland
endoderm,embryo
endometrial biopsy,uterus
endothelial cells from aorta and heart,vasculature
endothelial colony-forming cells and breast stromal cells,other
endothelial progenitor cells,vasculature
endothelium (HUVEC),vasculature
enriched retinal ganglion cells from mouse retina,eye
enteroendocrine cells,intestine
epididymal adipose tissue,adipose tissue
epididymal white adipose tissue (eWAT),adipose tissue
epididymal white adipose tissue (eWAT) and inguinal white adipose tissue (iWAT),adipose tissue
"epithelial cells, fibroblasts",other
epithelial intestinal organoids,intestine
epithelial intestinal tumoroids,intestine
epithelium from the ileum of the small intestine,small intestine
esophageal mucosa,esophagus
esophageal tissue,esophagus
ex vivo HSC PVA culture,bone marrow
extrahepatic biliary cells,liver
exvivo HSC PVA culture,bone marrow
eye cup,eye
eyelid,eye
"fascia, peripheral nerves",peripheral nervous system
femur,skeletal system
femurs and tibiae,skeletal system
fetal forelimbs,forelimb
fetal lung cells,lung
fetal lung xenograft,lung
fetal osteoblasts,skeletal system
fetal pancreas,pancreas
fine needle aspiration,other
flank bearing tumor tissue,other
flank tumor (subQ),skin of body
follicles,other
forelimbs,forelimb
fracture callus,skeletal system
frozen pituitary,endocrine gland
fundus (corpus),stomach
gastric adenocarcinoma,stomach
gastric body (antrum),stomach
gastric body (corpus),stomach
gastric fundus (corpus),stomach
gastrocnemius,musculature
gastrocnemius (skeletal muscle),musculature
gastrocnemius muscle,musculature
glia-enriched cultures derived from iPSCs,brain
hCOs from Human Embryonic Stem Cell (hESCs),other
hESC (human embryonic stem cells),other
hESC-derived cardiac progenitor cells,heart
hESC-derived lung organoid,lung
hESC-derived mature trunk neural crest derivatives,peripheral nervous system
hESC-derived transitional lung organoids,lung
hPSC-based somite formation model,other
hPSC-derived monocyte/macrophages,immune system
head,head
heart mitral valve,heart
"heart, kidney, liver, spleen",other
hematopoietic stem cells,bone marrow
hemiforebrain,brain
hepatoblastoma,liver
hepatoblastoma tissue,liver
hepatoblastoma tumoroid,liver
hepatocellular carcinoma cells,liver
hepatocyte,liver
herniated nucleus pulposus,skeletal system
heterogeneous differentiating cultures,other
hiPSC H9,other
hiPSCs,other
"hind paw/ankle joint, skin from hind paws",hindlimb
hindbrain neuroepithelial stem cells,brain
hindlimb muscle,hindlimb
hippocampal tissue,brain
hippocampus - CA,brain
